source,target,partition_col
6-5330,6-2445,6
6-5515,6-4217,6
6-2293,6-5624,6
6-2303,6-4977,6
6-2053,6-2587,6
6-2769,6-2847,6
6-3239,6-5252,6
6-1145,6-3786,6
6-4559,6-3860,6
6-2806,6-4947,6
6-5183,6-4730,6
6-4639,6-799,6
6-3804,6-5028,6
6-2952,6-922,6
6-2808,6-4988,6
6-5593,6-2119,6
6-3785,6-919,6
6-4150,6-4259,6
6-3505,6-3340,6
6-5394,6-2150,6
6-5291,6-5434,6
6-3009,6-3955,6
6-4192,6-5612,6
6-794,6-3996,6
6-3382,6-3276,6
6-4681,6-4811,6
6-2740,6-2258,6
6-3377,6-3655,6
6-2960,6-2900,6
6-5685,6-3939,6
6-4481,6-5632,6
6-4914,6-4178,6
6-3467,6-5453,6
6-4308,6-3686,6
6-3000,6-3746,6
6-2826,6-5662,6
6-2539,6-1113,6
6-3131,6-3838,6
6-4906,6-3783,6
6-3310,6-5198,6
6-5559,6-4501,6
6-622,6-4522,6
6-5687,6-2925,6
6-5321,6-2072,6
6-5098,6-2710,6
6-3334,6-2435,6
6-5035,6-2939,6
6-408,6-2638,6
6-2785,6-4611,6
6-1272,6-2322,6
6-3695,6-4366,6
6-3202,6-5665,6
6-5560,6-5584,6
6-3815,6-5440,6
6-4552,6-2479,6
6-2735,6-2417,6
6-4367,6-2534,6
6-4960,6-3888,6
6-5233,6-1032,6
6-4268,6-3391,6
6-4853,6-4975,6
6-5520,6-1768,6
6-5693,6-4750,6
6-5107,6-1686,6
6-1976,6-2702,6
6-3140,6-4600,6
6-1822,6-4134,6
6-4810,6-1995,6
6-4122,6-5480,6
6-5168,6-5709,6
6-2757,6-1695,6
6-3782,6-4189,6
6-2168,6-3291,6
6-4204,6-2914,6
6-451,6-5748,6
6-4693,6-4576,6
6-5219,6-3461,6
6-5243,6-4351,6
6-5663,6-5565,6
6-4385,6-4011,6
6-4500,6-1030,6
6-1969,6-4159,6
6-4109,6-3091,6
6-5022,6-3577,6
6-1774,6-1584,6
6-5296,6-5266,6
6-3376,6-3302,6
6-1089,6-2165,6
6-5236,6-3560,6
6-5461,6-5023,6
6-4777,6-3190,6
6-2746,6-3865,6
6-2947,6-1551,6
6-5021,6-2783,6
6-1305,6-4705,6
6-5466,6-4367,6
6-3196,6-3253,6
6-2155,6-4072,6
6-4474,6-1895,6
6-2076,6-1925,6
6-5742,6-5299,6
6-3903,6-5329,6
6-3677,6-2247,6
6-2652,6-4456,6
6-3324,6-3221,6
6-4610,6-4309,6
6-2666,6-3067,6
6-2027,6-3502,6
6-3072,6-4850,6
6-4547,6-5688,6
6-3113,6-5642,6
6-3888,6-4673,6
6-3136,6-2481,6
6-4182,6-914,6
6-4740,6-5065,6
6-4563,6-5191,6
6-2012,6-5305,6
6-5561,6-4612,6
6-3035,6-2944,6
6-2215,6-5742,6
6-5614,6-5333,6
6-3189,6-5372,6
6-1937,6-1842,6
6-4880,6-3160,6
6-2670,6-2108,6
6-4123,6-3927,6
6-3265,6-5336,6
6-4335,6-5091,6
6-5653,6-3100,6
6-3915,6-3563,6
6-5399,6-5005,6
6-3348,6-2287,6
6-2250,6-4317,6
6-4693,6-3976,6
6-3986,6-4861,6
6-2085,6-2932,6
6-2357,6-5573,6
6-2722,6-1498,6
6-1600,6-4136,6
6-5523,6-4224,6
6-2237,6-5289,6
6-3745,6-3219,6
6-4271,6-4135,6
6-1430,6-2146,6
6-4742,6-4793,6
6-4977,6-5025,6
6-2266,6-2547,6
6-1780,6-4312,6
6-5134,6-4493,6
6-4220,6-3855,6
6-4516,6-4065,6
6-3429,6-4197,6
6-5163,6-4605,6
6-3251,6-5694,6
6-4870,6-3662,6
6-5698,6-2877,6
6-3618,6-4437,6
6-4435,6-2816,6
6-1693,6-3430,6
6-4377,6-3562,6
6-578,6-3047,6
6-3141,6-5507,6
6-3719,6-4453,6
6-2539,6-3038,6
6-5675,6-4628,6
6-5361,6-2346,6
6-5762,6-4443,6
6-3686,6-1017,6
6-5323,6-1820,6
6-3908,6-4529,6
6-3626,6-5195,6
6-5139,6-3769,6
6-5635,6-2893,6
6-5483,6-4265,6
6-4237,6-4171,6
6-4801,6-3611,6
6-4629,6-3719,6
6-5689,6-4443,6
6-5584,6-3017,6
6-1090,6-5406,6
6-4774,6-1365,6
6-4740,6-4470,6
6-4358,6-4666,6
6-4931,6-3487,6
6-4972,6-4401,6
6-4601,6-3138,6
6-1968,6-4338,6
6-3407,6-3569,6
6-4482,6-4700,6
6-1882,6-4727,6
6-690,6-5459,6
6-2989,6-1874,6
6-2395,6-5102,6
6-4504,6-3729,6
6-4059,6-5608,6
6-3425,6-4028,6
6-2510,6-4715,6
6-1765,6-2712,6
6-5298,6-2093,6
6-2231,6-4723,6
6-5253,6-2553,6
6-5073,6-3800,6
6-3210,6-3580,6
6-4352,6-5533,6
6-3925,6-3643,6
6-5536,6-4063,6
6-1980,6-5089,6
6-4855,6-4053,6
6-4407,6-4129,6
6-4530,6-4613,6
6-4281,6-5712,6
6-4862,6-4310,6
6-3784,6-4386,6
6-4285,6-5546,6
6-5179,6-2819,6
6-5191,6-3162,6
6-4101,6-3049,6
6-3780,6-4252,6
6-3475,6-2361,6
6-1327,6-2408,6
6-572,6-4772,6
6-2010,6-4133,6
6-4413,6-2768,6
6-5031,6-2636,6
6-1565,6-4552,6
6-4810,6-5330,6
6-3732,6-4582,6
6-1719,6-5186,6
6-3158,6-4516,6
6-3557,6-2411,6
6-5677,6-1632,6
6-1191,6-3648,6
6-1946,6-5223,6
6-2187,6-5725,6
6-3431,6-3472,6
6-4479,6-3231,6
6-5498,6-4811,6
6-5685,6-3160,6
6-2006,6-5548,6
6-4486,6-3196,6
6-701,6-5407,6
6-3498,6-1967,6
6-4067,6-4272,6
6-4433,6-4611,6
6-3937,6-4508,6
6-393,6-936,6
6-1197,6-1094,6
6-4868,6-4945,6
6-3032,6-4821,6
6-4492,6-5761,6
6-480,6-3977,6
6-3622,6-5238,6
6-2718,6-4398,6
6-3183,6-4770,6
6-4734,6-3751,6
6-3518,6-5439,6
6-4219,6-5373,6
6-3090,6-5046,6
6-2365,6-2392,6
6-5658,6-3404,6
6-885,6-2140,6
6-4677,6-4521,6
6-4820,6-5124,6
6-2245,6-5659,6
6-5453,6-5583,6
6-2148,6-1065,6
6-1676,6-4519,6
6-5326,6-1901,6
6-4993,6-3081,6
6-2741,6-203,6
6-2829,6-4914,6
6-3963,6-1426,6
6-5034,6-5571,6
6-1913,6-4018,6
6-5245,6-2775,6
6-1979,6-3246,6
6-2449,6-4765,6
6-4175,6-3874,6
6-5162,6-3895,6
6-4821,6-3399,6
6-5674,6-3821,6
6-5502,6-3644,6
6-2421,6-3989,6
6-3125,6-5512,6
6-5475,6-4845,6
6-5240,6-1776,6
6-1887,6-5072,6
6-4146,6-4356,6
6-2489,6-3300,6
6-2847,6-3875,6
6-3123,6-4753,6
6-4060,6-3365,6
6-3812,6-3860,6
6-4461,6-3156,6
6-2460,6-3297,6
6-5509,6-2155,6
6-3622,6-3611,6
6-899,6-3728,6
6-4580,6-4908,6
6-5720,6-5354,6
6-4047,6-4451,6
6-2995,6-3483,6
6-3944,6-5550,6
6-5541,6-4878,6
6-4307,6-3061,6
6-4800,6-4387,6
6-4389,6-3519,6
6-4959,6-3692,6
6-3789,6-4849,6
6-2164,6-2998,6
6-5503,6-3029,6
6-4745,6-5455,6
6-5710,6-5589,6
6-4582,6-5392,6
6-5541,6-5288,6
6-3680,6-4011,6
6-3142,6-4454,6
6-5040,6-5222,6
6-4028,6-3833,6
6-5416,6-368,6
6-346,6-3778,6
6-3199,6-928,6
6-5321,6-5200,6
6-1279,6-3791,6
6-4524,6-1821,6
6-5197,6-640,6
6-3489,6-3669,6
6-5049,6-3104,6
6-3013,6-4302,6
6-5071,6-3067,6
6-3624,6-5356,6
6-5450,6-1881,6
6-4422,6-3202,6
6-970,6-4396,6
6-2070,6-4814,6
6-2715,6-3874,6
6-5330,6-4859,6
6-3387,6-1652,6
6-3194,6-4894,6
6-4826,6-4208,6
6-171,6-3489,6
6-1595,6-2143,6
6-5082,6-4584,6
6-2698,6-5702,6
6-5165,6-2012,6
6-5259,6-5581,6
6-4770,6-4848,6
6-2547,6-5262,6
6-4041,6-5450,6
6-4016,6-5542,6
6-1936,6-3464,6
6-5647,6-4530,6
6-5426,6-5288,6
6-5484,6-5116,6
6-2904,6-1795,6
6-1892,6-2745,6
6-2412,6-2633,6
6-3597,6-5061,6
6-4594,6-5322,6
6-5346,6-4891,6
6-4055,6-4289,6
6-4882,6-1850,6
6-5722,6-4642,6
6-3204,6-5489,6
6-5726,6-5483,6
6-2561,6-5474,6
6-5244,6-4737,6
6-3285,6-2022,6
6-4459,6-2668,6
6-753,6-5027,6
6-3670,6-5383,6
6-4929,6-3782,6
6-5726,6-5694,6
6-2719,6-4550,6
6-2677,6-1726,6
6-2699,6-4914,6
6-3120,6-4065,6
6-968,6-5037,6
6-4168,6-5740,6
6-2679,6-3393,6
6-3398,6-4560,6
6-2602,6-5455,6
6-4102,6-2170,6
6-2208,6-5605,6
6-1801,6-5055,6
6-4160,6-5049,6
6-5196,6-1989,6
6-2214,6-5620,6
6-2399,6-2938,6
6-5753,6-1395,6
6-5745,6-3757,6
6-4196,6-521,6
6-1355,6-5272,6
6-2764,6-5583,6
6-2488,6-4478,6
6-1858,6-3311,6
6-4076,6-2782,6
6-2144,6-4972,6
6-4849,6-3239,6
6-4099,6-2439,6
6-4253,6-5435,6
6-4306,6-3618,6
6-4730,6-4405,6
6-4992,6-5353,6
6-2694,6-5509,6
6-1905,6-1062,6
6-3317,6-5720,6
6-5183,6-5514,6
6-4560,6-2710,6
6-2886,6-5693,6
6-2730,6-5147,6
6-4450,6-2988,6
6-5157,6-2804,6
6-2087,6-1648,6
6-2933,6-5109,6
6-3255,6-2159,6
6-3226,6-5694,6
6-2082,6-2791,6
6-5497,6-5271,6
6-2361,6-5104,6
6-4048,6-3272,6
6-5518,6-3864,6
6-3490,6-4503,6
6-5243,6-5596,6
6-3768,6-4356,6
6-2279,6-4169,6
6-3686,6-5055,6
6-3381,6-4753,6
6-3637,6-1431,6
6-5112,6-4110,6
6-3894,6-4930,6
6-5127,6-3942,6
6-3979,6-4698,6
6-3539,6-3438,6
6-1855,6-3465,6
6-3270,6-5383,6
6-3549,6-695,6
6-3339,6-1016,6
6-3690,6-4260,6
6-5212,6-5752,6
6-773,6-2952,6
6-3098,6-5175,6
6-3297,6-3163,6
6-5215,6-2759,6
6-4970,6-5459,6
6-2229,6-4810,6
6-4032,6-2859,6
6-4616,6-2939,6
6-4704,6-3478,6
6-5338,6-5299,6
6-2917,6-2840,6
6-4789,6-4080,6
6-5135,6-3123,6
6-4862,6-2022,6
6-5608,6-3761,6
6-5700,6-660,6
6-4114,6-1353,6
6-5615,6-4978,6
6-1807,6-3139,6
6-3019,6-4842,6
6-4590,6-4582,6
6-4033,6-3781,6
6-3506,6-4667,6
6-5627,6-2367,6
6-2212,6-5609,6
6-4044,6-2801,6
6-5402,6-4122,6
6-2687,6-2549,6
6-5655,6-4398,6
6-3860,6-2524,6
6-5029,6-2322,6
6-4523,6-2168,6
6-4563,6-5650,6
6-5450,6-3842,6
6-5002,6-3305,6
6-5551,6-3325,6
6-5125,6-5109,6
6-3745,6-5688,6
6-5294,6-5256,6
6-3986,6-3258,6
6-4824,6-4369,6
6-3403,6-2837,6
6-2868,6-4489,6
6-2928,6-4672,6
6-3832,6-5201,6
6-5726,6-5462,6
6-5319,6-4105,6
6-3457,6-5222,6
6-5758,6-5050,6
6-3590,6-2810,6
6-3989,6-5136,6
6-2513,6-2247,6
6-1340,6-5015,6
6-5362,6-4764,6
6-4911,6-4179,6
6-5637,6-5057,6
6-5249,6-2734,6
6-3396,6-4421,6
6-3685,6-5707,6
6-3868,6-533,6
6-2535,6-4121,6
6-5255,6-5576,6
6-1157,6-5270,6
6-3171,6-4170,6
6-5460,6-2554,6
6-5182,6-2338,6
6-5340,6-3234,6
6-2722,6-5715,6
6-4944,6-1776,6
6-5149,6-5459,6
6-1207,6-4966,6
6-2940,6-3366,6
6-2979,6-1647,6
6-4199,6-2156,6
6-5183,6-3247,6
6-3559,6-2512,6
6-4328,6-5575,6
6-3750,6-4087,6
6-5724,6-3486,6
6-4720,6-4848,6
6-5155,6-5289,6
6-4660,6-2426,6
6-2739,6-4782,6
6-4842,6-5414,6
6-1709,6-5315,6
6-4657,6-5691,6
6-4322,6-2853,6
6-1932,6-4189,6
6-5486,6-5132,6
6-3795,6-3347,6
6-4585,6-2435,6
6-4379,6-5040,6
6-3149,6-1501,6
6-2920,6-3236,6
6-4455,6-132,6
6-5235,6-5525,6
6-4369,6-5553,6
6-5136,6-4590,6
6-5409,6-2862,6
6-3897,6-4916,6
6-3195,6-5227,6
6-4506,6-2063,6
6-1675,6-5229,6
6-3554,6-1962,6
6-3351,6-4239,6
6-3567,6-3179,6
6-5452,6-3126,6
6-4826,6-3281,6
6-4550,6-2551,6
6-2968,6-5319,6
6-4274,6-3063,6
6-2429,6-5399,6
6-4360,6-2949,6
6-4536,6-4723,6
6-1511,6-4389,6
6-2977,6-4837,6
6-3473,6-2520,6
6-5334,6-4727,6
6-3918,6-4310,6
6-3489,6-4875,6
6-3159,6-3107,6
6-4816,6-4696,6
6-5519,6-1231,6
6-2647,6-5392,6
6-3999,6-5256,6
6-2122,6-5712,6
6-5276,6-3629,6
6-5557,6-1241,6
6-4843,6-5408,6
6-5251,6-1886,6
6-4331,6-720,6
6-4467,6-3169,6
6-3339,6-3346,6
6-3586,6-2128,6
6-4480,6-4195,6
6-3562,6-4096,6
6-3603,6-4589,6
6-1315,6-3596,6
6-5053,6-5617,6
6-4765,6-4712,6
6-1520,6-5082,6
6-1812,6-1812,6
6-1976,6-5207,6
6-5459,6-5598,6
6-3242,6-3399,6
6-5744,6-5424,6
6-5606,6-3967,6
6-4273,6-4211,6
6-3041,6-4441,6
6-2810,6-3723,6
6-5326,6-4128,6
6-4762,6-5651,6
6-3506,6-5308,6
6-1993,6-2940,6
6-4321,6-1669,6
6-2985,6-4817,6
6-5281,6-3333,6
6-3602,6-2206,6
6-328,6-2743,6
6-5691,6-5633,6
6-4632,6-5685,6
6-4022,6-4517,6
6-4875,6-4667,6
6-2169,6-3955,6
6-4649,6-3912,6
6-3236,6-2426,6
6-3839,6-4699,6
6-4319,6-3594,6
6-1580,6-638,6
6-4387,6-4477,6
6-5757,6-1503,6
6-5452,6-4464,6
6-5673,6-5666,6
6-5500,6-2705,6
6-3204,6-2663,6
6-3920,6-2054,6
6-3885,6-5704,6
6-5723,6-4212,6
6-4799,6-3626,6
6-3878,6-3904,6
6-2153,6-5474,6
6-2649,6-1665,6
6-2704,6-2303,6
6-3583,6-3064,6
6-4676,6-3406,6
6-2876,6-5760,6
6-5614,6-2793,6
6-5650,6-2303,6
6-5572,6-1674,6
6-4510,6-3652,6
6-4667,6-5040,6
6-4986,6-3852,6
6-5206,6-4875,6
6-4385,6-3883,6
6-1509,6-5026,6
6-1969,6-4480,6
6-4999,6-3641,6
6-4593,6-2625,6
6-3483,6-5439,6
6-5479,6-3854,6
6-1666,6-3440,6
6-5294,6-4868,6
6-2825,6-5590,6
6-5077,6-1003,6
6-371,6-3129,6
6-3578,6-4001,6
6-1247,6-4753,6
6-4964,6-4757,6
6-1346,6-5718,6
6-5230,6-5249,6
6-2226,6-742,6
6-5344,6-2215,6
6-903,6-5622,6
6-3331,6-5292,6
6-5147,6-5723,6
6-5017,6-4805,6
6-3516,6-3014,6
6-4177,6-3389,6
6-4984,6-3726,6
6-4678,6-3587,6
6-4683,6-2404,6
6-3816,6-5201,6
6-5020,6-1329,6
6-4174,6-5620,6
6-3384,6-5368,6
6-5741,6-5144,6
6-4662,6-4437,6
6-2933,6-4277,6
6-4484,6-2598,6
6-2748,6-1815,6
6-2652,6-2908,6
6-5457,6-5578,6
6-3223,6-2203,6
6-2505,6-5376,6
6-4139,6-4326,6
6-5219,6-4463,6
6-4071,6-3418,6
6-2222,6-3095,6
6-3044,6-1079,6
6-5026,6-1228,6
6-5285,6-4415,6
6-4580,6-4433,6
6-1523,6-4991,6
6-3132,6-4624,6
6-2818,6-3610,6
6-5419,6-1708,6
6-3544,6-4541,6
6-5710,6-4054,6
6-5586,6-786,6
6-4186,6-3967,6
6-3805,6-4369,6
6-2906,6-5532,6
6-3429,6-4346,6
6-2819,6-2939,6
6-4020,6-3774,6
6-4233,6-5547,6
6-4324,6-4738,6
6-5359,6-2468,6
6-2845,6-2225,6
6-5394,6-3950,6
6-5414,6-3321,6
6-4151,6-5381,6
6-3418,6-3208,6
6-4845,6-3577,6
6-3546,6-5716,6
6-5530,6-3948,6
6-2348,6-5424,6
6-1711,6-4325,6
6-4917,6-2779,6
6-4228,6-5178,6
6-5466,6-4728,6
6-4511,6-5607,6
6-2855,6-4209,6
6-1182,6-4694,6
6-4534,6-2831,6
6-2475,6-3822,6
6-3967,6-3683,6
6-3357,6-3323,6
6-5501,6-4614,6
6-3686,6-2364,6
6-5161,6-3704,6
6-4527,6-4751,6
6-3865,6-4023,6
6-3081,6-4238,6
6-4205,6-1192,6
6-5744,6-5627,6
6-3477,6-3110,6
6-3903,6-2441,6
6-5497,6-1627,6
6-4614,6-3412,6
6-1255,6-2858,6
6-3965,6-4163,6
6-1626,6-3280,6
6-4374,6-4897,6
6-4461,6-3607,6
6-4946,6-3723,6
6-4040,6-4419,6
6-3315,6-2377,6
6-4887,6-2342,6
6-4556,6-4113,6
6-5083,6-2710,6
6-4390,6-2087,6
6-1962,6-2580,6
6-2424,6-4437,6
6-3835,6-3809,6
6-4738,6-4515,6
6-1427,6-5235,6
6-2294,6-5427,6
6-5164,6-1564,6
6-5706,6-3140,6
6-5228,6-2755,6
6-5307,6-4700,6
6-3887,6-557,6
6-3002,6-3405,6
6-2689,6-3964,6
6-5354,6-3929,6
6-4595,6-3631,6
6-3719,6-1792,6
6-1404,6-5450,6
6-5367,6-4850,6
6-963,6-3425,6
6-3577,6-2089,6
6-3572,6-5376,6
6-3997,6-4197,6
6-3485,6-4222,6
6-5442,6-860,6
6-5101,6-3640,6
6-4800,6-787,6
6-5631,6-4053,6
6-5376,6-4134,6
6-3059,6-1127,6
6-3755,6-4697,6
6-2658,6-4892,6
6-4969,6-2793,6
6-4585,6-3167,6
6-4082,6-1385,6
6-2117,6-1149,6
6-4415,6-4907,6
6-1526,6-4155,6
6-4631,6-1303,6
6-4417,6-3432,6
6-5096,6-5684,6
6-5668,6-5217,6
6-1503,6-944,6
6-5524,6-2196,6
6-2815,6-1297,6
6-5545,6-5539,6
6-4569,6-756,6
6-3959,6-3618,6
6-2751,6-4937,6
6-5292,6-5717,6
6-4352,6-3424,6
6-4733,6-2399,6
6-2405,6-4080,6
6-183,6-3479,6
6-2997,6-4425,6
6-1912,6-3912,6
6-2559,6-4816,6
6-4513,6-1259,6
6-4913,6-4315,6
6-5102,6-4107,6
6-5527,6-5524,6
6-4318,6-3219,6
6-429,6-4436,6
6-5376,6-4421,6
6-5389,6-1077,6
6-4520,6-4670,6
6-5583,6-3937,6
6-5382,6-416,6
6-5713,6-4267,6
6-5670,6-5260,6
6-2579,6-3382,6
6-3783,6-4171,6
6-3131,6-5010,6
6-3803,6-5338,6
6-2618,6-4771,6
6-4787,6-3400,6
6-5466,6-5517,6
6-4702,6-4571,6
6-1508,6-5444,6
6-2319,6-2980,6
6-5624,6-4002,6
6-4290,6-4862,6
6-4608,6-4640,6
6-3350,6-4947,6
6-2723,6-899,6
6-5760,6-4790,6
6-4883,6-4513,6
6-3258,6-3017,6
6-4279,6-1673,6
6-4078,6-5751,6
6-4635,6-4818,6
6-5699,6-4551,6
6-4091,6-1974,6
6-5272,6-774,6
6-5638,6-1938,6
6-5109,6-3960,6
6-4360,6-3138,6
6-2710,6-4110,6
6-5012,6-1952,6
6-2357,6-4150,6
6-2640,6-4423,6
6-3758,6-3453,6
6-1299,6-4444,6
6-4338,6-5686,6
6-3541,6-4504,6
6-3896,6-4707,6
6-1505,6-4297,6
6-1596,6-5661,6
6-4375,6-3618,6
6-2241,6-1316,6
6-5137,6-1543,6
6-4659,6-5480,6
6-4298,6-4906,6
6-3056,6-4476,6
6-5589,6-2907,6
6-4682,6-2166,6
6-2692,6-4093,6
6-5121,6-4715,6
6-5747,6-5127,6
6-4873,6-4001,6
6-4347,6-5261,6
6-5105,6-5150,6
6-5628,6-3707,6
6-4841,6-2249,6
6-4422,6-3841,6
6-5573,6-2706,6
6-3010,6-425,6
6-4322,6-2252,6
6-4353,6-3199,6
6-2586,6-5459,6
6-4448,6-4957,6
6-4156,6-5134,6
6-5710,6-5346,6
6-2708,6-4677,6
6-4890,6-3106,6
6-5623,6-5600,6
6-3697,6-5086,6
6-5762,6-4084,6
6-4458,6-1725,6
6-4474,6-3701,6
6-2930,6-5011,6
6-3127,6-3204,6
6-5529,6-4178,6
6-3363,6-4729,6
6-3348,6-3156,6
6-3876,6-1875,6
6-4937,6-3392,6
6-2514,6-4980,6
6-5709,6-4585,6
6-1024,6-4766,6
6-4698,6-1650,6
6-2847,6-5575,6
6-5675,6-5601,6
6-4098,6-5120,6
6-1805,6-1824,6
6-5509,6-4410,6
6-3369,6-2241,6
6-1120,6-2838,6
6-2937,6-2122,6
6-3081,6-3838,6
6-5247,6-1548,6
6-5761,6-4803,6
6-4101,6-5300,6
6-4095,6-3897,6
6-5245,6-2300,6
6-3839,6-5616,6
6-5362,6-3698,6
6-3389,6-5081,6
6-2666,6-2705,6
6-3134,6-5481,6
6-4781,6-2153,6
6-3242,6-5468,6
6-4713,6-2209,6
6-1177,6-4223,6
6-5367,6-3797,6
6-1711,6-3068,6
6-3950,6-3168,6
6-5751,6-3555,6
6-5287,6-3142,6
6-3065,6-3631,6
6-5577,6-4381,6
6-719,6-3145,6
6-1786,6-3369,6
6-4003,6-3956,6
6-2633,6-4875,6
6-2996,6-4191,6
6-5556,6-3915,6
6-3895,6-1329,6
6-2732,6-4380,6
6-3098,6-2138,6
6-1703,6-5323,6
6-5084,6-4440,6
6-2776,6-4127,6
6-2477,6-5408,6
6-3181,6-1323,6
6-5028,6-4671,6
6-4687,6-4642,6
6-5388,6-3496,6
6-3582,6-3921,6
6-1008,6-3880,6
6-5352,6-5254,6
6-5324,6-2972,6
6-5248,6-1627,6
6-4292,6-4269,6
6-4505,6-1623,6
6-1888,6-1869,6
6-3584,6-4726,6
6-2734,6-5160,6
6-4798,6-2683,6
6-4411,6-5085,6
6-4108,6-4951,6
6-1938,6-4534,6
6-1835,6-4603,6
6-2559,6-5747,6
6-4027,6-1193,6
6-3586,6-3862,6
6-4093,6-4626,6
6-3758,6-3638,6
6-5279,6-3704,6
6-5491,6-5706,6
6-1223,6-3538,6
6-4188,6-1913,6
6-5449,6-4267,6
6-3374,6-938,6
6-4985,6-4596,6
6-4562,6-5001,6
6-1687,6-2548,6
6-5063,6-5476,6
6-4505,6-5649,6
6-5110,6-3611,6
6-4866,6-4062,6
6-5653,6-4484,6
6-2813,6-4188,6
6-3618,6-4184,6
6-4725,6-5143,6
6-908,6-4845,6
6-2600,6-2157,6
6-5520,6-5078,6
6-4497,6-1890,6
6-2446,6-1526,6
6-4871,6-4021,6
6-3873,6-2292,6
6-3912,6-5325,6
6-4816,6-5413,6
6-5369,6-5281,6
6-4001,6-2477,6
6-3399,6-3114,6
6-5633,6-5447,6
6-5118,6-3874,6
6-2779,6-2938,6
6-5722,6-5550,6
6-2401,6-4402,6
6-3501,6-2268,6
6-4728,6-5526,6
6-5198,6-2782,6
6-5748,6-609,6
6-4580,6-3735,6
6-5578,6-4214,6
6-4306,6-4810,6
6-5710,6-5233,6
6-3723,6-2136,6
6-3700,6-4402,6
6-4784,6-3038,6
6-5733,6-3934,6
6-2784,6-4075,6
6-1130,6-4348,6
6-3093,6-5520,6
6-3032,6-2932,6
6-5026,6-2566,6
6-1604,6-5128,6
6-1835,6-3728,6
6-3525,6-5394,6
6-2998,6-5716,6
6-2522,6-4175,6
6-2468,6-3842,6
6-5230,6-3433,6
6-1429,6-1844,6
6-2732,6-4984,6
6-5590,6-4727,6
6-4216,6-2632,6
6-5074,6-3258,6
6-3465,6-3283,6
6-2773,6-5115,6
6-3976,6-3882,6
6-4380,6-5261,6
6-3697,6-2026,6
6-1862,6-5438,6
6-3716,6-5018,6
6-3484,6-5284,6
6-1752,6-5543,6
6-4828,6-1140,6
6-2821,6-2065,6
6-2865,6-4788,6
6-5659,6-3002,6
6-3665,6-2737,6
6-3040,6-3054,6
6-5406,6-5687,6
6-2839,6-3751,6
6-4830,6-4331,6
6-3058,6-3905,6
6-4148,6-2405,6
6-5546,6-5021,6
6-1300,6-2016,6
6-4817,6-5124,6
6-3620,6-1821,6
6-3508,6-4183,6
6-5163,6-5570,6
6-4939,6-5371,6
6-5599,6-4501,6
6-2683,6-4053,6
6-2437,6-3526,6
6-4827,6-2820,6
6-3438,6-5254,6
6-3585,6-3055,6
6-2367,6-5496,6
6-4175,6-4408,6
6-4251,6-2387,6
6-5737,6-4845,6
6-4954,6-5309,6
6-4297,6-5683,6
6-4032,6-1161,6
6-5238,6-3453,6
6-761,6-2342,6
6-3253,6-4466,6
6-5721,6-3965,6
6-2894,6-2918,6
6-4456,6-2721,6
6-2722,6-4967,6
6-4846,6-3484,6
6-5274,6-2450,6
6-3868,6-3681,6
6-5597,6-5329,6
6-4532,6-4955,6
6-4391,6-928,6
6-4091,6-3783,6
6-5600,6-2506,6
6-2669,6-4182,6
6-5398,6-3048,6
6-3123,6-4046,6
6-5493,6-4107,6
6-170,6-5410,6
6-3162,6-3890,6
6-3003,6-3148,6
6-5125,6-2081,6
6-2262,6-3356,6
6-4884,6-2169,6
6-353,6-2544,6
6-3124,6-692,6
6-5378,6-5342,6
6-5591,6-2106,6
6-4691,6-4745,6
6-1525,6-2365,6
6-5074,6-4892,6
6-1860,6-3735,6
6-2499,6-4912,6
6-789,6-1667,6
6-3998,6-2214,6
6-2477,6-5444,6
6-5718,6-5235,6
6-2387,6-5495,6
6-1314,6-4622,6
6-1729,6-2960,6
6-3366,6-3857,6
6-3145,6-3182,6
6-3746,6-4040,6
6-5301,6-2961,6
6-5126,6-2716,6
6-3460,6-3313,6
6-5655,6-1799,6
6-4963,6-4436,6
6-5726,6-5754,6
6-1147,6-4399,6
6-5435,6-5233,6
6-4360,6-5330,6
6-4659,6-3242,6
6-2369,6-4412,6
6-4135,6-4003,6
6-5189,6-4317,6
6-4959,6-3938,6
6-5501,6-4313,6
6-4611,6-3835,6
6-1924,6-3728,6
6-5604,6-4242,6
6-3499,6-2526,6
6-5179,6-5658,6
6-4645,6-3264,6
6-1844,6-4435,6
6-2687,6-1809,6
6-2948,6-4793,6
6-4844,6-5690,6
6-4161,6-2967,6
6-2294,6-3404,6
6-3316,6-1654,6
6-2374,6-1855,6
6-3881,6-4536,6
6-1889,6-3063,6
6-2677,6-5690,6
6-5407,6-5206,6
6-3187,6-4610,6
6-5602,6-4440,6
6-5638,6-5375,6
6-4812,6-3154,6
6-2498,6-5704,6
6-2955,6-2492,6
6-5692,6-5445,6
6-5258,6-4230,6
6-4110,6-2492,6
6-5604,6-5338,6
6-1731,6-4606,6
6-5653,6-5185,6
6-1832,6-5189,6
6-5515,6-4082,6
6-3844,6-4170,6
6-4374,6-3665,6
6-1682,6-4571,6
6-4973,6-4948,6
6-4312,6-4334,6
6-5634,6-687,6
6-4432,6-5017,6
6-1127,6-3146,6
6-2038,6-4328,6
6-5263,6-5429,6
6-3934,6-3940,6
6-1427,6-3891,6
6-5055,6-5718,6
6-4644,6-2838,6
6-2279,6-5198,6
6-5349,6-4759,6
6-2258,6-4447,6
6-2647,6-3591,6
